project_name,state,Latitude,Longitude,catchment_area_sq_km,catchment_outlet_lat,catchment_outlet_lon,commissioning_year,starting_year,installed_cap,dam_height,initial_cost,final_cost,planned_dur,actual_dur,seismic_zone,forest_area_div,dist_road,contract type,contract retendered,tunnel length,elevation,damlength,category,transmission line length cktkm,landowner_displaced,funder,glof_risk,source,catchment_source,PRCPTOT_mean,PRCPTOT_max,RX1day_mean,RX1day_max,RX5day_mean,RX5day_max,R10mm_mean,R10mm_max,R20mm_mean,R20mm_max,R25mm_mean,R25mm_max,R30mm_mean,R30mm_total,R100mm_mean,R100mm_total,CDD_mean,CDD_max,CWD_mean,CWD_max,R95p_mean,R95p_max,R99p_mean,R99p_max,SDII
chamera III,himachal,32.4411,76.4258,2203,32.4411,76.4258,2012,2005,231.0,64,1520.967,2109,5.0,7.0,V,98.9814,,EPC,YES,15970,,73,large,6.6,384,CG+NHPC,Low/Unknown,https://www.nhpcindia.com/welcome/project_detail/29/index.php.html ; https://hpforest.gov.in/storage/files/1/pdf/CAMPA/CAT%20Plan/CAT%20Plan%20Chamera%20Stage-III%20HEP_compressed.pdf ; https://www.nhpcindia.com/assests/pzi_public/gallery/17562827940.pdf ;  https://cercind.gov.in/2026/Orders/46-GT-2025.pdf ;  https://cea.nic.in/wp-content/uploads/hpm/2021/11/QPR_106_9th_NOV_.pdf ; https://www.nhpcindia.com/assests/pzi_public/gallery/16908878370.pdf;,"CBIP (Central Board of Irrigation & Power, Govt of India) technical paper ""A Case Study of Chamera Stage-II & III"" — official catchment at Chamera-III dam site, 24km upstream of Chamera-II",1799.5665039271116,2597.1222709417343,96.17466878890991,159.6650848388672,196.97775791212916,318.7422409057617,51.875,72.0,29.375,42.0,22.375,35.0,17.875,143.0,0.375,3.0,44.375,80.0,16.125,30.0,448.08005237579346,966.0466728210449,133.04278755187988,450.92101287841797,15.138309181300624
bajoli holi,himachal,32.4272,76.6025,199,32.4272,76.6025,2022,2013,180.0,0,1891.270656,2110,5.0,9.0,V,75.23,7,BOOT,NO,15580,1707,,large,35,300,GMR,Medium/High (Elevation > 1500m),https://herc.gov.in/WriteReadData/Orders/O20210429a.pdf ; https://forestsclearance.nic.in/writereaddata/AdditionalInformation/AddInfoSought/0_0_211261224121318-43-2011-FC.pdf ;  https://hpforest.gov.in/storage/files/1/pdf/CAMPA/CAT%20Plan/Bajoli-Holi.pdf ; https://www.scribd.com/document/128816802/Bajoli-Holi#google_vignette ; https://cea.adgstaging.in/wp-content/uploads/2020/04/private-hydro.pdf,GMR/FC docs forestsclearance.nic.in (Holi Khad catchment),3139.6657111763952,3802.7968517541885,201.45967864990234,325.1290283203125,426.4114141277969,637.5405120849609,68.9,81.0,48.0,60.0,40.3,55.0,35.5,355.0,5.1,51.0,44.8,82.0,14.1,29.0,974.9355392456055,1595.2790069580078,477.407048034668,1069.4090270996094,27.883354450944896
rampur,himachal,31.4725,77.6744,49260,31.4725,77.6744,2014,2007,412.0,0,2135.169172,4340,6.0,7.0,IV,49,0,SPLIT,NO,15170,1030,0,large,,167,WB,Low/Unknown,https://openknowledge.worldbank.org/server/api/core/bitstreams/c6d00fd4-fb2f-53e7-aff5-8c828adf0d74/content ;  https://www.worldbank.org/en/news/feature/2007/09/13/rampur-hydropower-project ; https://www.sjvn.nic.in/en/rampur-hps ; https://www.cercind.gov.in/2017/orders/184.pdf;,"World Bank / SJVN DPR (Sutlej above Rampur, downstream of Nathpa)",1122.0078720897436,1381.5318938493729,47.05104351043701,73.50563049316406,123.27602556347847,205.50587272644043,36.375,47.0,11.25,15.0,6.625,9.0,4.0,32.0,0.0,0.0,40.375,71.0,40.75,100.0,297.42860865592957,462.25586700439453,75.863600730896,251.7533721923828,7.66529716201362
malana I,himachal,32.0628,77.2614,84,32.0628,77.2614,2001,1998,86.0,16,397.9160168,322,5.0,2.5,V,61*,24,IR,NO,3100,1878,305,large,24.23,0,BHILWARA,Medium/High (Elevation > 1500m),https://onemine.org/documents/design-and-construction-of-malana-hydroelectric-power-tunnel-india ; https://hpsdma.nic.in/index1.aspx?lsid=70&lev=2&lid=62&langid=1 ; https://cercind.gov.in/2025/ROP/23-TT-2023_201125.pdf ; https://www.lnjbhilwara.com/mpcl.html ; https://www.malanapower.com/mpcl-at-a-glance.aspx?AspxAutoDetectCookieSupport=1 ; https://indiawris.gov.in/wiki/doku.php?id=dams_in_himachal_pradesh ; https://energyinfratech.com/pdf/Malana.pdf ; https://hillpost.in/2013/06/hydro-projects-causing-degeneration-of-hill-ecology-cag-june-5-is-world-environment-day/84583/ ; https://www.bhilwaraenergy.com/hydro-power-generation/,Malana Power / env.clearance.nic.in (Malana nala catchment),1051.115285485983,1359.240879893303,54.956515312194824,75.50466918945312,126.85060352087021,164.92274236679077,32.25,44.0,11.5,19.0,6.75,13.0,4.75,19.0,0.0,0.0,47.0,55.0,20.0,29.0,238.9759111404419,503.3598442077637,63.396921157836914,139.79185485839844,7.873522737722718
malana II,himachal,32.0914,77.2856,60,32.0914,77.2856,2011,2003,100.0,45,739.6134267,868.52,3.75,8.0,V,17.545,25,EPC,NO,5130,2513,,large,38,0,EPPL+ICB,Medium/High (Elevation > 1500m),"https://himachalservices.nic.in/economics/pdf/EconomicSurveyEng2014_15_A1b.pdf ; https://cdm.unfccc.int/Projects/Validation/DB/9IR6FF2PSZYKR6Q155EJSS9FE22BUL/view.html ; https://hpforest.gov.in/storage/files/1/pdf/CAMPA/CAT%20Plan/CAT%20Plan%20Malana-II%20HEP_compressed.pdf ; https://nationalcampa.nic.in/dashboard/APOPDF//66c31ad5bfe16.pdf ; https://aptel.gov.in/sites/default/files/2026-05/430%20of%202019%20%26%20Batch.pdf ; https://webapps.sgs.com/quality-network/full/100%20MW%20Malana%20-%20II,%20Hydro%20%E2%80%93%20Electric%20Power%20Project%20(Malana%20%E2%80%93%20II%20HEP)%20at%20Kullu%20district%20of%20Himachal%20Pradesh%20State,%20India,%20by%20Ms%20Everest%20Power%20Private%20Limited.pdf ;https://www.scribd.com/document/45100303/Traning-Report",CDM/UNFCCC docs / env clearance (Malana nala above Malana-II),984.6346171564526,1321.5324397087097,62.49057261149088,105.78221893310548,121.46964889102512,155.21435546875,29.555555555555557,43.0,12.333333333333334,21.0,7.888888888888889,19.0,5.333333333333333,48.0,0.1111111111111111,1.0,48.22222222222222,94.0,11.555555555555555,18.0,252.04796494377985,556.5258674621582,98.9802008734809,237.04252243041992,8.98753707343618
sainj,himachal,31.7914,77.3011,313,31.7914,77.3011,2017,2010,100.0,24.5,478.5798995,775,4.0,7.0,V,47.99,0,EPC,NO-LD,6300,1752,48*,large,1.8,0,ADB,Medium/High (Elevation > 1500m),https://www.adb.org/sites/default/files/project-documents/41627/41627-043-emr-en_1.pdf ; https://hppcl.in/WriteReadData/userfiles/file/Environment%20Clearance%20Sainj%20HEP.pdf ; https://www.scribd.com/document/248309971/Sainj-Hydr ; ,ADB env monitoring report / HPPCL env clearance (Sainj R catchment),993.5650726407766,1488.1396429538727,51.093472957611084,84.02342224121094,110.19251327216625,187.01038390398026,33.625,48.0,13.25,23.0,8.875,20.0,5.625,45.0,0.0,0.0,55.75,86.0,12.5,22.0,217.85833883285522,655.6414012908936,49.380929470062256,198.7359390258789,9.728911360007604
uhl III,himachal,31.9542,76.8012,338,31.9542,76.8012,2021,1998,100.0,0,740.624238,1165,5.0,23.0,V,0,0,IR,YES,8400,890,0,large,20,,SG+PFC,Low/Unknown,https://npp.gov.in/public-reports/cea/monthly/transmission/tl/2023/DEC/trans1-2023-12.pdf ; http://www.ir.juit.ac.in:8080/jspui/bitstream/123456789/5227/1/Use%20of%20Construction%20Management%20Tools%20in%20the%20Tunneling%20Project%20of%20UHL-%20III%20%28100%20MW%29.pdf ; https://hptenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&sp=SuvNwohawcM0r6jN%2By1BhLQ%3D%3D ; https://sandrp.in/2020/05/18/uhl-hydro-project-disaster-needs-independent-probe/ ; https://planning.hp.gov.in/plg_PlanFormulation/Annual_plan_2010-11.pdf ; https://environmentclearance.nic.in/writereaddata/Online/EDS/0_0_13_May_2025_1758283531ComplianceReportThanaPlaunHEP191MWHPPCL.pdf ; https://saiindia.gov.in/uploads/download_audit_report/2014/Himachal_Pradesh_Report_2_2014_Chap_2.pdf ;  https://www.scribd.com/presentation/713854359/Presentation-on-UHL-2 ; ,HPPCL / planning.hp.gov.in (Uhl R above Uhl III),1510.1373882591724,1943.5853345394135,105.19956270853679,249.1043701171875,220.73734119410315,436.28626680374146,46.458333333333336,64.0,23.833333333333332,34.0,17.291666666666668,27.0,13.541666666666666,325.0,0.5416666666666666,13.0,53.458333333333336,93.0,15.041666666666666,31.0,420.0194330215454,910.031852722168,165.48498471577963,476.87528228759766,13.988150257900479
tidong-1,himachal,31.5245,78.3564,313,31.5245,78.3564,2023,2003,150.0,8*,885.2500211,2100*,4.0,20.0,IV,32.17,15,MP,YES,8409,2663,64.5,large,57,0-LA,IFC+ADB+ICB,Medium/High (Elevation > 1500m),https://www.indiawaterportal.org/governance-and-policy/governance/power-play-kinnaur ; https://ewsdata.rightsindevelopment.org/files/documents/14/ADB-46919-014_OtWGQ8M.pdf ; https://www.nslpower.com/Executive_Summary_Tidong-1_HEP_03092011.pdf ; https://cea.nic.in/wp-content/uploads/hpm/2021/11/QPR_106_9th_NOV_.pdf ; https://www.scribd.com/document/141387478/Tidong ; ,ADB-46919 / IFC docs (Tidong Khad catchment),710.3369001490729,1157.0419952869415,43.924185298738024,140.5696563720703,97.27718265283676,281.71851444244385,19.476190476190474,37.0,6.190476190476191,20.0,4.142857142857143,14.0,2.5238095238095237,53.0,0.047619047619047616,1.0,41.095238095238095,80.0,10.238095238095237,20.0,124.19899331955682,585.5726928710938,46.47347150530134,396.5422668457031,6.845835201069542
pong,himachal,31.9631,75.9208,12561,31.9631,75.9208,1974,1961,396.0,133*,216.3460008,325,5.0,13.0,V,0,0,IR,NO,5017,435,1151,large,,20700,SG ,Low/Unknown,https://api.mountainscholar.org/server/api/core/bitstreams/c879b4b7-8c5d-4a5f-b3c0-455958591178/content ; https://indiawris.gov.in/wiki/doku.php?id=beas_unit_-_ii_pong_dam_major_irrigation_project_punjab_ji03099 ; https://bbmb.gov.in/pong-hi.htm,BBMB / Wikipedia (Maharana Pratap Sagar) — Beas above Pong,984.9641236918313,1489.1989855766296,50.99265480041504,83.80697631835938,132.7371620450701,186.29041862487793,33.357142857142854,48.0,12.214285714285714,22.0,7.142857142857143,13.0,4.5,63.0,0.0,0.0,56.714285714285715,84.0,26.428571428571427,67.0,216.95022773742676,532.369945526123,51.368054798671174,184.59722900390625,9.089978728863308
dehar,himachal,31.4125,76.8642,12561,31.4125,76.8642,1977,1961,990.0,76.2,130.7145258,449,7.0,16.0,V,0,0,IR,NO,25460,896,255,mega,3751,,SG,Low/Unknown,https://moef.gov.in/uploads/2019/06/Report-CIAampCCS-of-Beas-sub-basin-in-HP_compressed-1.pdf ; https://bbmb.gov.in/dehar.htm,BBMB — Dehar uses Pong reservoir via Beas-Sutlej link; same Beas catchment,1103.7691476204816,1498.0127791166306,47.39913222369026,69.3961181640625,127.98783659934998,230.94284057617188,37.0,55.0,10.764705882352942,20.0,6.176470588235294,15.0,3.4705882352941178,59.0,0.0,0.0,55.0,95.0,38.470588235294116,87.0,197.19644636266372,555.2139511108398,43.33316960054285,238.25233840942383,8.115949614856483
sawra kuddu,himachal,31.1278,77.7714,852,31.25,77.65,2020,2007,111.0,10.45,717.8482236,2081,5.0,13.0,IV,53,0,IR,YES,11365,1500,0,large,11.3,0-LA,ADB,Low/Unknown,https://cea.nic.in/wp-content/uploads/hpi/2026/04/In_Operation_HEPs__PSPs_as_on_30.04.2026-1.pdf ; https://forestsclearance.nic.in/DownloadPdfFile.aspx?FileName=0_0_121129121512131DetailaboutProject(CheckList-4).pdf&FilePath=../writereaddata/Addinfo/ ; https://www.adb.org/sites/default/files/project-documents/41627/41627-023%2C%2041627-033-emr-en_4.pdf ; https://www.adb.org/sites/default/files/project-documents/41627/41627-023%2C%2041627-033-emr-en_4.pdf ; https://static.pib.gov.in/WriteReadData/specificdocs/documents/2022/apr/doc202242145301.pdf;,HPPCL env docs (Pabbar R above Sawra Kuddu),1039.4564526506833,1424.6176933050156,58.836198806762695,96.89320373535156,133.87584745458193,294.6654357910156,34.214285714285715,46.0,12.5,21.0,7.714285714285714,18.0,4.5,63.0,0.0,0.0,50.142857142857146,90.0,15.428571428571429,28.0,278.101092338562,719.1513175964355,78.55127389090401,210.48607635498047,9.19291872211596
kashang I,himachal,31.5911,78.2714,221,31.71,78.27,2016,2010,243.0,0,759.0169919,1319,4.0,6.5,V,63.5,5,SPLIT,YES,6300,2872,0,large,76,204,ADB,Medium/High (Elevation > 1500m),https://www.hppcl.in/content/602_5_KashangHEP.aspx ; https://www.adb.org/sites/default/files/project-documents//41627-043-ind-semr-05.pdf ; https://hpptcl.com/projects-commissioned-2/ ; https://www.hppcl.in/WriteReadData/userfiles/file/R%20and%20R/2018-3-Resettlement%20Plan%20IKHEP(1).pdf ; https://cag.gov.in/uploads/download_audit_report/2019/Chapter_2_Performance_Audit_Relating_to_Power_Sector_Undertakings_of_Report_No_3_of_2019_PSUs_Economic_Sector_Government_of_Himachal_Pradesh.pdf ; ,HPPCL env clearance (Kashang Khad catchment),802.9522065775735,1046.451140165329,66.4630423954555,185.0338287353516,126.5212881224496,318.63856875896454,23.0,34.0,9.714285714285714,17.0,6.571428571428571,10.0,4.571428571428571,32.0,0.14285714285714285,1.0,45.0,75.0,8.857142857142858,15.0,222.5883889879499,657.8896217346191,39.63313620431082,277.4319534301758,8.122348910466783
kutehr,himachal,32.4812,76.5328,1470,32.76,76.5,2025,2011,240.0,27,1817.966822,1856,6.0,14.0,V,72,0,EPC,YES,21200,1681,193,large,,30,CONSORTIUM,Medium/High (Elevation > 1500m),https://group.jsw.in/sites/default/files/assets/industry/energy/Kutehr-tender/Kutehr%20NIT_Lot_2_Final.pdf ; https://herc.gov.in/WriteReadData/Orders/IO20250827a.pdf ; https://www.indiaratings.co.in/pressrelease/81590 ; https://hpforest.gov.in/storage/files/1/pdf/CAMPA/CAT%20Plan/Kutehr%20Hudro%20Electric%20Project.pdf ; https://hppcb.nic.in/KutherSummary_Eng.pdf ; https://ejatlas.org/print/kuther-hydroelectric-project-hp-india,JSW Energy DPR (upper Ravi above Kutehr),1695.7068271211215,2352.989490866661,91.82739230564663,156.86602783203125,190.75334725209646,287.0962619781494,54.785714285714285,73.0,28.071428571428573,44.0,18.428571428571427,31.0,12.928571428571429,181.0,0.6428571428571429,9.0,45.642857142857146,87.0,17.5,30.0,307.03723171779086,555.451976776123,102.4440531049456,392.5456848144531,13.496245355142525
baspa,himachal,31.4422,78.2256,950,31.5267,78.3028,2003,1993,300.0,13,1124.8648,1612,5.0,10.0,V,49,0,EPC,NO,7.95,2539,61,large,56.7,0,CONSORTIUM,Medium/High (Elevation > 1500m),https://www.jswenergy.in/businesses/power-generation/baspa-ii-plant/ ; https://hpforest.gov.in/storage/files/1/pdf/CAMPA/CAT%20Plan/Basp%20Stage-II.pdf ; https://www.researchgate.net/publication/259086883_300_MW_Baspa_II-India's_largest_private_hydroelectric_facility_on_top_of_a_rock_avalanche-dammed_palaeo-lake_NW_Himalaya_Regional_geology_tectonic_setting_and_seismicity ; https://www.scribd.com/document/983529665/AKUMULACIJE-SEDIMENTACIJA-2#google_vignette ; https://documents1.worldbank.org/curated/en/957671468253830473/pdf/E14650vol-02.pdf ; https://www.powermin.gov.in/static/uploads/2025/08/43e59cec3c4fff5e2d9efae33b156a20.pdf,HBPCL / env clearance (Baspa R catchment),931.9764893163334,1281.027957201004,46.57404916936701,77.1448974609375,117.93460055914792,190.34235954284668,27.90909090909091,46.0,8.454545454545455,14.0,5.2727272727272725,9.0,2.8181818181818183,31.0,0.0,0.0,46.63636363636363,75.0,19.181818181818183,45.0,198.04723046042702,393.3578910827637,54.28488436612216,229.3941192626953,7.159037278267924
Ranjit Sagar Dam (Thein),himachal,32.4414,75.7311,8700,32.62,75.69,2001,1981,600.0,160,109.6381251,3800,9.0,20.0,IV/V,65.96,30,DEPARTMENTAL,NO,4000,540,617,mega,26,816,SG,Low/Unknown,https://www.scribd.com/document/37399636/Mi-Nip ; http://164.100.60.165/Meetings/NRPC_TCC/61NRPC/61NRPC_MN.pdf ;  https://cea.nic.in/wp-content/uploads/hpi/2025/07/In_Operation_Hydro_HEPs_as_on_31.07.2025.pdf ;  https://indiawris.gov.in/wiki/doku.php?id=ranjit_sagar_dam_hydroelectric_project_jh01087 ; http://himachalpr.gov.in/OnePressRelease.aspx?Language=1&ID=46606.,Punjab Irrigation Dept (irrigationapp.punjab.gov.in) — Ravi above Thein,1143.9128711223602,1907.0059195756912,74.35381535121373,172.34092712402344,171.01355915126345,451.32909393310547,36.0,51.0,14.952380952380953,26.0,10.238095238095237,24.0,7.0476190476190474,148.0,0.38095238095238093,8.0,47.285714285714285,87.0,17.714285714285715,38.0,323.9660117739723,1167.7962036132812,120.55050986153739,655.6782608032227,10.11459801834508
